Player,Pos,Squad,Age,90s,TklW,Tkl%,Blocks,Int,Tkl+Int,Clr,Err,Total Cmp,Total Cmp%,Short Cmp,Long Cmp,Long Cmp%,Passes into final third,Prog,SCA,Recov,Aerial Won,Aerial Won%,Touches Def 3rd,Touches Mid 3rd,Rec
Bruno Langa,DF,Chaves,25-069,9.4,1.38,50.0,1.38,1.28,2.98,2.66,0.0,35.7,69.3,13.9,3.72,43.2,3.09,4.15,2.66,7.13,0.64,46.2,24.8,26.5,30.9
Nuno Lima,DF,Paços,21-298,9.2,0.76,28.6,1.52,0.98,1.74,2.39,0.0,44.0,85.4,11.4,8.59,68.7,2.72,2.17,0.43,5.33,1.41,56.5,36.1,21.5,39.7
Rúben Lima,DF,Famalicão,33-097,9.5,0.95,42.9,1.37,2.11,3.79,3.89,0.0,37.3,72.4,18.9,3.58,43.6,3.89,2.95,0.95,4.63,1.89,56.3,20.4,30.1,31.1
Iván Marcano,DF,Porto,35-199,6.8,0.44,50.0,1.18,1.18,1.62,2.5,0.15,59.4,89.6,17.1,10.0,77.3,2.79,2.65,0.59,5.74,2.79,79.2,37.8,33.5,53.1
Adrián Marín,DF,Gil Vicente FC,25-364,10.3,1.07,69.2,0.68,1.07,2.43,3.01,0.0,38.2,70.7,17.6,3.79,38.2,4.37,5.24,2.33,5.44,1.84,59.4,18.6,30.4,36.4
João Mário Lopes,DF,Porto,23-005,5.3,0.94,44.4,0.75,0.94,2.64,0.94,0.0,39.6,79.8,21.3,2.08,50.0,1.13,2.83,3.4,3.02,0.94,45.5,12.5,27.7,37.2
Enea Mihaj,DF,Famalicão,24-187,13.0,0.46,66.7,1.15,1.08,2.31,3.23,0.0,43.5,88.7,14.9,5.23,68.0,1.69,1.62,0.31,4.08,1.38,56.3,34.5,21.8,39.2
Nélson Monte,DF,Chaves,27-162,13.0,0.46,41.7,1.0,1.77,2.31,5.69,0.0,42.2,84.6,8.92,6.69,64.4,2.62,3.15,0.46,3.31,1.92,53.2,34.5,24.6,39.6
Morato,DF,Benfica,21-192,4.0,1.25,50.0,0.5,1.25,2.5,2.5,0.0,59.3,88.4,26.3,6.0,68.6,5.5,3.5,0.75,7.75,2.0,66.7,33.3,40.0,50.8
Fahd Moufi,DF,Portimonense,26-248,13.3,0.68,61.5,1.43,2.03,3.08,2.48,0.0,37.0,70.0,16.1,3.23,39.8,2.26,1.73,2.48,5.71,2.26,62.5,19.4,27.4,32.9
Christian Neiva Afonso,DF,Vizela,28-029,12.0,1.67,69.6,0.75,1.58,3.92,3.67,0.0,31.4,67.0,14.8,3.67,35.2,3.17,3.0,2.83,6.0,1.58,50.0,20.2,24.7,24.3
Sikou Niakaté,DF,Braga,23-182,10.9,0.73,50.0,1.19,1.74,3.03,3.94,0.0,55.8,86.2,16.8,4.22,44.7,2.94,3.03,0.83,5.87,2.29,69.4,39.0,35.7,51.7
